ensgene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521,mean_control,mean_treated,log2_fold_change,p_value,Significance,color
ENSG00000001497,556.0,513.0,619.0,355.0,666.0,770.0,517.0,440.0,534.5,487.0,-0.13400542718737007,0.756422266850497,Not significant,gray
ENSG00000001561,74.0,53.0,212.0,160.0,22.0,37.0,134.0,177.0,63.5,186.0,1.5356672044643824,0.0486064618255321,Upregulated,red
ENSG00000001617,560.0,372.0,934.0,436.0,706.0,725.0,581.0,641.0,466.0,685.0,0.5547860264631517,0.4970962583299715,Not significant,gray
ENSG00000001626,16.0,9.0,14.0,8.0,8.0,7.0,7.0,8.0,12.5,11.0,-0.1699250014423126,0.7757694721744193,Not significant,gray
ENSG00000001629,1491.0,1204.0,2438.0,1041.0,2838.0,2727.0,1817.0,1747.0,1347.5,1739.5,0.3681462924880794,0.637696961920263,Not significant,gray
ENSG00000001630,1014.0,807.0,1135.0,689.0,1374.0,1324.0,947.0,763.0,910.5,912.0,0.0023722039450877475,0.9956857480832945,Not significant,gray
ENSG00000001631,694.0,725.0,1052.0,475.0,1137.0,1249.0,861.0,855.0,709.5,763.5,0.10568185211802472,0.8689771863174195,Not significant,gray
ENSG00000002016,256.0,202.0,263.0,109.0,308.0,271.0,178.0,112.0,229.0,186.0,-0.2985955910567384,0.6508216983872313,Not significant,gray
ENSG00000002079,1.0,0.0,7.0,7.0,1.0,0.0,0.0,6.0,0.5,7.0,2.415037499278844,0.00586515322756568,Upregulated,red
ENSG00000002330,760.0,653.0,796.0,431.0,769.0,956.0,615.0,674.0,706.5,613.5,-0.2033171373465823,0.6732030655184538,Not significant,gray
ENSG00000002549,1460.0,1274.0,1280.0,980.0,1428.0,1770.0,829.0,1003.0,1367.0,1130.0,-0.2744693008960777,0.3114275370233476,Not significant,gray
ENSG00000002586,7314.0,7067.0,9639.0,6221.0,11373.0,12979.0,6885.0,7559.0,7190.5,7930.0,0.1412100644488028,0.7081136845213021,Not significant,gray
ENSG00000002587,2.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,2.5,1.0,-0.8073549220576042,0.09546596626670913,Not significant,gray
ENSG00000002726,1.0,0.0,4.0,2.0,0.0,1.0,0.0,4.0,0.5,3.0,1.415037499278844,0.1548457452714834,Not significant,gray
ENSG00000002745,5.0,5.0,28.0,9.0,2.0,2.0,4.0,3.0,5.0,18.5,1.7004397181410926,0.2911896377973747,Not significant,gray
ENSG00000002746,172.0,160.0,104.0,86.0,130.0,115.0,94.0,143.0,166.0,95.0,-0.7987417917528958,0.022431685033449812,Not significant,gray
ENSG00000002822,391.0,306.0,415.0,185.0,424.0,569.0,311.0,332.0,348.5,300.0,-0.21552896861573423,0.7306168664984938,Not significant,gray
ENSG00000002834,7577.0,7641.0,9125.0,7305.0,7858.0,14203.0,6996.0,9324.0,7609.0,8215.0,0.1105397279272875,0.5741974914186103,Not significant,gray
ENSG00000002919,230.0,225.0,273.0,207.0,247.0,350.0,200.0,301.0,227.5,240.0,0.07683898117189258,0.741966199073903,Not significant,gray
ENSG00000002933,1296.0,1542.0,594.0,433.0,36.0,28.0,69.0,107.0,1419.0,513.5,-1.4646479474980758,0.025356857044456966,Downregulated,blue
ENSG00000003056,1954.0,1665.0,1960.0,1309.0,2096.0,2339.0,1839.0,1763.0,1809.5,1634.5,-0.14665641739339996,0.671783573863362,Not significant,gray
ENSG00000003096,644.0,330.0,590.0,178.0,555.0,308.0,536.0,257.0,487.0,384.0,-0.342022701980623,0.7293023793896056,Not significant,gray
ENSG00000003137,140.0,55.0,235.0,75.0,31.0,39.0,191.0,76.0,97.5,155.0,0.6633503994058723,0.590524280938671,Not significant,gray
ENSG00000003147,9.0,4.0,9.0,8.0,8.0,16.0,10.0,12.0,6.5,8.5,0.34103691783506696,0.5149287499273341,Not significant,gray
ENSG00000003249,85.0,73.0,221.0,84.0,107.0,116.0,173.0,131.0,79.0,152.5,0.9401667504828168,0.3970293109208227,Not significant,gray
ENSG00000003393,900.0,728.0,875.0,514.0,979.0,1595.0,846.0,747.0,814.0,694.5,-0.22874954457620156,0.6107156248671648,Not significant,gray
ENSG00000003400,101.0,71.0,121.0,104.0,97.0,67.0,109.0,74.0,86.0,112.5,0.38360499144218707,0.2641017916008215,Not significant,gray
ENSG00000003402,2065.0,3648.0,2340.0,2991.0,2828.0,6903.0,1744.0,4908.0,2856.5,2665.5,-0.09980617041884621,0.8441180376500277,Not significant,gray
ENSG00000003436,4665.0,4109.0,6899.0,3253.0,9138.0,6350.0,3913.0,3778.0,4387.0,5076.0,0.21041273432642882,0.7445684972226343,Not significant,gray
ENSG00000003509,306.0,249.0,379.0,203.0,410.0,406.0,258.0,285.0,277.5,291.0,0.068291041539986,0.8973458233071676,Not significant,gray
ENSG00000003756,3095.0,2413.0,3940.0,1763.0,3701.0,3895.0,2801.0,2827.0,2754.0,2851.5,0.05017456771752471,0.939669038297279,Not significant,gray
ENSG00000003987,25.0,28.0,34.0,35.0,23.0,50.0,15.0,32.0,26.5,34.5,0.3683874059800223,0.03691317531384639,Not significant,gray
ENSG00000003989,61.0,51.0,13.0,3.0,44.0,104.0,17.0,51.0,56.0,8.0,-2.662965012722429,0.02101958026239498,Downregulated,blue
ENSG00000004059,1589.0,1893.0,1519.0,1136.0,1747.0,2545.0,1396.0,1896.0,1741.0,1327.5,-0.39094639610835813,0.23285674373791904,Not significant,gray
ENSG00000004139,311.0,354.0,326.0,168.0,370.0,342.0,357.0,310.0,332.5,247.0,-0.42734664079771,0.4059742078603784,Not significant,gray
ENSG00000004142,1501.0,1570.0,1618.0,981.0,1746.0,2298.0,1129.0,1261.0,1535.5,1299.5,-0.2405813676499715,0.5380189101970707,Not significant,gray
ENSG00000004399,4107.0,4116.0,3858.0,2064.0,5515.0,5631.0,2670.0,2561.0,4111.5,2961.0,-0.47344403822111936,0.3282041024775838,Not significant,gray
ENSG00000004455,1349.0,1098.0,1549.0,733.0,1568.0,2126.0,1040.0,903.0,1223.5,1141.0,-0.10063012320113529,0.8645965788811478,Not significant,gray
ENSG00000004468,8.0,8.0,2.0,3.0,8.0,12.0,4.0,2.0,8.0,2.5,-1.362570079384708,0.008163401865824482,Downregulated,blue
ENSG00000004478,552.0,638.0,727.0,396.0,870.0,910.0,507.0,471.0,595.0,561.5,-0.08345923435776292,0.862779516694258,Not significant,gray
ENSG00000004487,1345.0,1018.0,1705.0,788.0,1796.0,1503.0,1195.0,1011.0,1181.5,1246.5,0.07719963199786584,0.9059976863354102,Not significant,gray
ENSG00000004534,1246.0,1002.0,2084.0,930.0,1715.0,1609.0,1209.0,975.0,1124.0,1507.0,0.42271142716426446,0.5826873913813266,Not significant,gray
ENSG00000004660,98.0,58.0,59.0,38.0,87.0,81.0,156.0,66.0,78.0,48.5,-0.6744241280974936,0.3215701290632995,Not significant,gray
ENSG00000004700,1376.0,1618.0,1714.0,1127.0,1293.0,2202.0,1177.0,1745.0,1497.0,1420.5,-0.07562352478122314,0.8320277928709794,Not significant,gray
ENSG00000004766,567.0,383.0,533.0,365.0,638.0,660.0,464.0,438.0,475.0,449.0,-0.08103657209090542,0.8540062905520047,Not significant,gray
ENSG00000004776,14175.0,12857.0,13950.0,8278.0,11255.0,10302.0,15995.0,12729.0,13516.0,11114.0,-0.2822670430939027,0.4961154827246175,Not significant,gray
ENSG00000004777,206.0,106.0,102.0,62.0,78.0,65.0,119.0,89.0,156.0,82.0,-0.9195813175447025,0.3031261209777133,Not significant,gray
ENSG00000004779,330.0,340.0,486.0,265.0,411.0,566.0,296.0,326.0,335.0,375.5,0.16418863189316824,0.7493629040242658,Not significant,gray
ENSG00000004799,82.0,835.0,127.0,1130.0,226.0,479.0,647.0,3273.0,458.5,628.5,0.45414151642998135,0.8117386489479512,Not significant,gray
ENSG00000004809,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.5,0.2223924213364481,0.42264973081037427,Not significant,gray
ENSG00000004838,19.0,8.0,28.0,8.0,25.0,15.0,20.0,13.0,13.5,18.0,0.3899465183160129,0.7314330102919958,Not significant,gray
ENSG00000004846,33.0,9.0,75.0,12.0,9.0,13.0,26.0,7.0,21.0,43.5,1.0163018123291003,0.5731672050816459,Not significant,gray
ENSG00000004848,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5849625007211562,0.42264973081037427,Not significant,gray
ENSG00000004864,141.0,141.0,104.0,110.0,226.0,248.0,164.0,116.0,141.0,107.0,-0.394859617341214,0.007695710789775676,Not significant,gray
ENSG00000004866,522.0,387.0,1077.0,288.0,600.0,588.0,548.0,357.0,454.5,682.5,0.5854902838040079,0.6263585182556801,Not significant,gray
ENSG00000004897,1662.0,1367.0,2114.0,1041.0,1980.0,2173.0,1823.0,1628.0,1514.5,1577.5,0.05876040852865749,0.9201921440374077,Not significant,gray
ENSG00000004939,9.0,7.0,12.0,3.0,17.0,12.0,8.0,6.0,8.0,7.5,-0.08246216019197261,0.9235280887098127,Not significant,gray
ENSG00000004948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Not significant,gray
ENSG00000004961,444.0,345.0,541.0,289.0,651.0,570.0,361.0,401.0,394.5,415.0,0.07290583366830106,0.8935301947211852,Not significant,gray
ENSG00000004975,1330.0,954.0,1146.0,517.0,1330.0,1034.0,993.0,913.0,1142.0,831.5,-0.45730322625585273,0.4859995310375518,Not significant,gray
ENSG00000005001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Not significant,gray
ENSG00000005007,2288.0,2284.0,2515.0,1544.0,2227.0,3318.0,1992.0,2494.0,2286.0,2029.5,-0.17162133848734662,0.6500459853821376,Not significant,gray
ENSG00000005020,881.0,710.0,781.0,499.0,752.0,927.0,704.0,846.0,795.5,640.0,-0.31335000490656917,0.4452183921988835,Not significant,gray
ENSG00000005022,1581.0,1253.0,1555.0,839.0,1472.0,1664.0,1115.0,1166.0,1417.0,1197.0,-0.2432296244507306,0.6325772977195536,Not significant,gray
ENSG00000005059,200.0,206.0,242.0,206.0,194.0,192.0,209.0,245.0,203.0,224.0,0.14135584924554223,0.3688312557327974,Not significant,gray
ENSG00000005073,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,Not significant,gray
ENSG00000005075,631.0,693.0,719.0,378.0,730.0,966.0,481.0,490.0,662.0,548.5,-0.27088938916335614,0.5797585934007108,Not significant,gray
ENSG00000005100,440.0,437.0,554.0,357.0,530.0,762.0,402.0,630.0,438.5,455.5,0.05475169484081732,0.8788738663297875,Not significant,gray
ENSG00000005102,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.0,-0.5849625007211562,0.42264973081037427,Not significant,gray
ENSG00000005108,10.0,12.0,6.0,5.0,8.0,18.0,12.0,30.0,11.0,5.5,-0.8845227825800639,0.03892553767285827,Not significant,gray
ENSG00000005156,370.0,170.0,370.0,178.0,402.0,442.0,247.0,203.0,270.0,274.0,0.021138767058150876,0.9796003312879298,Not significant,gray
ENSG00000005175,334.0,346.0,318.0,119.0,596.0,479.0,350.0,368.0,340.0,218.5,-0.635550799488815,0.3471397163829232,Not significant,gray
ENSG00000005187,24.0,26.0,35.0,24.0,33.0,26.0,34.0,12.0,25.0,29.5,0.23029761942179494,0.5053152610636185,Not significant,gray
ENSG00000005189,78.0,61.0,89.0,56.0,114.0,64.0,104.0,69.0,69.5,72.5,0.06012099243757074,0.8864483253843303,Not significant,gray
ENSG00000005194,438.0,373.0,620.0,314.0,522.0,740.0,324.0,478.0,405.5,467.0,0.2032531775083779,0.7321341934126806,Not significant,gray
ENSG00000005206,748.0,656.0,767.0,377.0,747.0,1090.0,583.0,732.0,702.0,572.0,-0.2949895503156288,0.5829861914078096,Not significant,gray
ENSG00000005238,801.0,634.0,853.0,408.0,991.0,914.0,615.0,621.0,717.5,630.5,-0.1862054226697829,0.7494012612570666,Not significant,gray
ENSG00000005243,1171.0,949.0,1236.0,746.0,931.0,1001.0,1037.0,900.0,1060.0,991.0,-0.09701263052789066,0.8215170349052986,Not significant,gray
ENSG00000005249,227.0,247.0,279.0,328.0,284.0,385.0,212.0,417.0,237.0,303.5,0.35548065459838885,0.1285197019310835,Not significant,gray
ENSG00000005302,441.0,547.0,488.0,338.0,579.0,690.0,381.0,378.0,494.0,413.0,-0.257797757467646,0.4708142478405798,Not significant,gray
ENSG00000005339,2660.0,1793.0,3240.0,1690.0,3210.0,4177.0,2479.0,2404.0,2226.5,2465.0,0.14674736799355514,0.8134198460583058,Not significant,gray
ENSG00000005379,213.0,128.0,120.0,134.0,150.0,276.0,157.0,116.0,170.5,127.0,-0.4220647661728121,0.41884947453601473,Not significant,gray
ENSG00000005381,3.0,30.0,7.0,1.0,0.0,2.0,8.0,3.0,16.5,4.0,-1.8073549220576042,0.4614619773347953,Not significant,gray
ENSG00000005421,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Not significant,gray
ENSG00000005436,313.0,303.0,292.0,239.0,343.0,411.0,273.0,277.0,308.0,265.5,-0.2134713051451982,0.2557305745301759,Not significant,gray
ENSG00000005448,241.0,214.0,267.0,158.0,233.0,420.0,171.0,239.0,227.5,212.5,-0.09795809543757894,0.814375768598742,Not significant,gray
ENSG00000005469,503.0,396.0,344.0,191.0,629.0,479.0,485.0,437.0,449.5,267.5,-0.7466050178281254,0.1905352869492812,Not significant,gray
ENSG00000005471,67.0,15.0,61.0,16.0,18.0,17.0,49.0,26.0,41.0,38.5,-0.0885366746016576,0.9486551216708641,Not significant,gray
